User,Tweets Ago,Date,Compound,Positive,Negative,Neutral,Tweet Text
BBCNews,1,Sun Nov 05 23:15:46 +0000 2017,-0.0516,0.0,0.085,0.915,"Monday's Mail: ""Queen Dragged Into £10m Offshore Tax Row"" https://t.co/59qLMsMYG1 #bbcpapers #tomorrowspaperstoday (via @AllieHBNews)"
BBCNews,2,Sun Nov 05 22:52:01 +0000 2017,-0.4404,0.0,0.209,0.791,"Monday's Mirror: ""Queen's £10m Tax Haven Scandal"" https://t.co/PMTUvzjGA3 #bbcpapers #tomorrowspaperstoday (via @AllieHBNews)"
BBCNews,3,Sun Nov 05 22:49:02 +0000 2017,0.0,0.0,0.0,1.0,"Monday's Times: ""Queen invested millions in offshore tax havens"" https://t.co/mqFuOGvdvM #bbcpapers #tomorrowspaperstoday (via @AllieHBNews)"
BBCNews,4,Sun Nov 05 22:44:03 +0000 2017,0.4939,0.186,0.0,0.814,"Monday's i: ""Queen's personal wealth is invested in Cayman tax haven"" https://t.co/oIK4YPyZIJ #bbcpapers (via @AllieHBNews)"
BBCNews,5,Sun Nov 05 22:40:04 +0000 2017,-0.8402,0.0,0.455,0.545,"Monday's Guardian: ""Queen's cash invested in controversial retailer accused of exploiting the poor"" https://t.co/tzT5anXYCe via @AllieHBNews"
BBCNews,6,Sun Nov 05 22:36:26 +0000 2017,0.0,0.0,0.0,1.0,"Monday's Metro: ""Massacre At Church"" https://t.co/rnuGhX2ppR #bbcpapers #tomorrowspaperstoday (via @AllieHBNews)"
BBCNews,7,Sun Nov 05 22:36:09 +0000 2017,-0.0772,0.158,0.176,0.667,"Monday's Telegraph: ""Sex scandal will 'clear out' ministers"" https://t.co/z3dGcT3zjL #bbcpapers #tomorrowspaperstoday (via @AllieHBNews)"
BBCNews,8,Sun Nov 05 22:28:53 +0000 2017,0.6179,0.229,0.0,0.771,RT @BBCPanorama: Don't miss our must-see investigation into the offshore secrets of the rich - now on iPlayer. #paradisepapers. https://t.c…
BBCNews,9,Sun Nov 05 22:16:14 +0000 2017,-0.34,0.0,0.112,0.888,"RT @BBCSport: Three players have been released from Scotland's #RLWC squad after being deemed too drunk to board a flight.

https://t.co/Vy…"
BBCNews,10,Sun Nov 05 22:14:05 +0000 2017,0.0,0.0,0.0,1.0,"Monday's Express: ""Icy Blast To Sweep Britain"" https://t.co/xryvwkd8Ju #bbcpapers #tomorrowspaperstoday (via @AllieHBNews)"
BBCNews,11,Sun Nov 05 22:14:05 +0000 2017,-0.6249,0.0,0.272,0.728,"Monday's Star: ""Strictly Shirley In Fix Crisis"" https://t.co/l7ZnzH6IAt #bbcpapers #tomorrowspaperstoday (via @AllieHBNews)"
BBCNews,12,Sun Nov 05 22:11:05 +0000 2017,-0.4767,0.0,0.181,0.819,"Monday's FT: ""Princes and tycoons arrested in Saudi crackdown on corruption"" https://t.co/jqKtx7VV2n #bbcpapers (via @AllieHBNews)"
BBCNews,13,Sun Nov 05 22:00:39 +0000 2017,0.4019,0.13,0.0,0.87,"RT @BBCWorld: Don't know your ""double Irish"" from a ""drawdown""? 

Our jargon-busting guide to #ParadisePapers key terms will help

https://…"
