,city name,cloudiness,humidity,lat,temp,wind speed
0,Heintrop,75,76,51.65,51.24,16.11
1,Aspen Valley,1,76,37.83,53.6,4.83
2,Deliblato,20,71,44.83,51.8,4.7
3,Dodworth,40,77,53.54,57.29,21.92
4,Scherpenheuvel-Zichem,75,76,51.01,52.34,14.99
5,Cullar-Vega,0,23,37.15,82.4,6.93
6,Viro Viro,75,74,-17.65,79.74,9.17
7,Dale,90,62,40.31,58.12,11.41
8,Herleshausen,75,70,51.02,50.11,25.28
9,Huata,0,46,-18.95,63.77,3.15
10,Tormestorp,0,100,56.12,51.8,10.29
11,Oberlin,90,80,41.29,37.69,9.17
12,Riedholz,75,54,47.23,53.38,10.29
13,Gornje Mostre,75,75,44.02,48.38,5.82
14,Borredon,0,51,44.88,58.87,6.93
15,Kowalewo,90,87,52.97,48.2,23.04
16,Rio Claro,75,48,-22.72,87.8,14.99
17,Bang Pahan,20,78,14.46,82.4,5.82
18,Memerambi,36,92,-26.45,62.78,7.4
19,Thurins,20,50,45.68,54.48,13.87
20,Mons,0,34,44.11,66.2,14.99
21,Virginia Valley,90,79,18.21,84.2,4.7
22,Santa Margarida,56,57,-20.38,81.68,9.08
23,Sergey-Pole,90,72,43.67,60.8,8.95
24,Hellstein,75,62,50.32,51.8,17.22
25,Caseres,0,41,41.03,66.96,6.96
26,Villebois-les-Pins,0,33,44.32,62.6,25.28
27,Werda,40,81,50.43,45.32,16.11
28,Namoluk,76,100,5.92,80.06,5.84
29,High Point,40,69,26.47,80.6,11.41
30,WiÃŸmannsdorf,40,76,49.98,46.36,17.22
31,Paoli,1,63,40.04,61.56,6.93
32,Glantane,75,87,52,57.2,11.41
33,Couiza,0,36,42.94,66.31,19.46
34,Safonovskaya,80,80,60.44,25.88,12.66
35,Ognes,75,76,49.61,55.4,17.22
36,Berridale,76,91,-36.37,52.7,7.18
37,Karttula,90,100,62.88,35.6,16.11
38,Khayredin,0,70,43.6,54.23,17.02
39,La Plaine-des-Palmistes,90,61,-21.12,76.1,5.82
40,Lulindi,32,32,-10.82,90.23,10.65
41,BrÃ_chermÃ_hle,75,71,50.92,49.21,17.22
42,Avoca,90,93,52.85,55.4,21.92
43,Jiefang,0,84,30.78,56.12,9.98
44,Cambridgeshire,75,77,52.33,59,12.75
45,Longjing,0,56,23.88,73.4,8.95
46,Alcantarilha,0,53,37.16,75.2,16.11
47,Tarcento,0,69,46.21,57.25,4.7
48,La Loma,92,100,8.17,72.63,4.61
49,Longjie,0,76,24.19,66.38,11.32
50,Baden,90,93,40.64,50,5.06
51,Plaudren,40,72,47.78,59.92,4.7
52,Santa CecÃ_lia de VoltregÃ ,20,73,42.01,70.72,6.93
53,Montehermoso,0,41,40.09,74.79,7.96
54,Brcko District of Bosnia and Herzegovina,75,66,44.83,50,4.7
55,Hardwick,75,77,52.21,59,12.75
56,Zaratamo,75,68,43.21,62.35,4.7
57,Medway,1,81,45.61,46.4,5.82
58,Fleac,0,54,45.67,60.89,6.93
59,Ellerbe,20,72,35.07,61.86,5.82
60,Celanova,0,34,42.17,82.4,2.24
61,Nine Mile,90,69,40.98,36.46,12.75
62,Landkreis Mecklenburg-Strelitz,75,93,53.44,50,13.87
63,Zavoronezhskoye,92,93,52.88,39.56,7.07
64,Schochwitz,75,71,51.53,50,25.28
65,Binmaley,12,95,16.03,79.52,8.41
66,Air Force Academy,90,55,38.99,37.87,5.82
67,Landkreis Erding,75,66,48.31,49.33,18.34
68,Wulften,90,71,51.66,50,14.99
69,Talavera La Real,0,19,38.88,86,3.36
70,Sheridan,90,65,41.53,37,9.17
71,Savigny,20,50,45.82,54.79,13.87
72,Wyong Creek,90,83,-33.27,68.9,3.36
73,Gau-Bischofsheim,75,71,49.92,51.24,11.41
74,Bei,0,100,-8.7,82.44,5.39
75,Bregano,0,39,45.83,62.17,5.82
76,Rellingen,75,87,53.65,51.8,17.22
77,Tuckerton,1,48,39.6,64.89,11.41
78,Bertheauville,90,76,49.75,55.4,19.46
79,Kozova,92,97,49.44,41.94,13.67
80,Brighouse,90,93,53.7,58.26,21.92
81,Pazuengos,75,72,42.32,61.75,9.17
82,Lollschied,75,71,50.27,47.1,11.41
83,Mekarsari,76,96,-8.06,71.64,2.71
84,Sassari,0,27,40.73,73.4,5.82
85,Borovoy,48,81,63.23,17.69,7.52
86,Barra do Trombudo,0,55,-27.25,76.91,11.65
87,Lengthal,75,53,48.18,51.8,16.11
88,Possendorf,75,70,50.94,48.2,25.28
89,Encarnacion de Diaz,5,62,21.52,55.4,3.36
90,Loket,40,81,50.19,44.04,16.11
91,Hosakote,88,64,14.28,78.93,10.2
92,Molzino,90,87,55.89,35.6,6.71
93,Castries,20,74,14,86,12.75
94,Garden Acres,1,76,37.96,52.7,1.92
95,Beverino,20,64,44.19,56.39,2.93
96,Saint-Aubin-de-Branne,75,63,44.8,61.66,9.17
97,Greece,75,59,43.21,62.6,11.41
98,Bletterans,75,66,46.75,53.6,9.17
99,Korgan,36,46,40.82,59.99,2.71
